YearMonth,Year,Month,Value
1993-Dec,1993,Dec,3.2
1994-Dec,1994,Dec,2.6
1995-Dec,1995,Dec,3.0
1996-Dec,1996,Dec,2.6
1997-Dec,1997,Dec,2.2
1998-Dec,1998,Dec,2.4
1999-Dec,1999,Dec,1.9
2000-Dec,2000,Dec,2.6
2001-Dec,2001,Dec,2.7
2002-Dec,2002,Dec,1.9
2003-Dec,2003,Dec,1.1
2004-Dec,2004,Dec,2.2
2005-Dec,2005,Dec,2.2
2006-Dec,2006,Dec,2.6
2007-Dec,2007,Dec,2.4
2008-Dec,2008,Dec,1.8
2009-Dec,2009,Dec,1.8
2010-Dec,2010,Dec,0.8
2011-Dec,2011,Dec,2.2
2012-Dec,2012,Dec,1.9
2013-Dec,2013,Dec,1.7
2014-Dec,2014,Dec,1.6
2015-Dec,2015,Dec,2.1
2016-Dec,2016,Dec,2.2
2017-Dec,2017,Dec,1.8
2018-Dec,2018,Dec,2.2
2019-Dec,2019,Dec,2.3
2020-Dec,2020,Dec,1.6
2021-Dec,2021,Dec,5.5
2022-Dec,2022,Dec,5.7
2023-Dec,2023,Dec,3.9
2024-Dec,2024,Dec,
